name,stationID,evaNr,rl100Code,lat,lon
Aachen Hbf,1,,,50.7678,6.091499
Aachen Schanz,7205,,,50.769862,6.07384
Aachen West,3,,,50.78036,6.070715
Aachen-Rothe Erde,2,,,50.770202,6.116475
Aalen Hbf,4,,,48.841013,10.096271
Abensberg,5,,,48.819456,11.84662
Achern,6,,,48.63399,8.065324
Achim,7,,,53.01599,9.030447
Achmer,8,,,52.390479,7.94216
Achterwehr,7225,,,54.314913,9.964024
Adelebsen,11,,,51.57769,9.760044
Adelschlag,12,,,48.840759,11.211443
Adelsdorf (Mittelfr),13,,,49.474944,10.687041
Adelsheim Nord,14,,,49.42149,9.392754
Adelsheim Ost,15,,,49.403123,9.395127
Adorf (Vogtl),17,,,50.3243953,12.2606778
Affaltrach,18,,,49.137832,9.379012
Agatharied,19,,,47.765606,11.824472
Agathenburg,20,,,53.564111,9.531244
Aglasterhausen,8168,,,49.350097,8.990838
Aha,21,,,47.833224,8.134349
Ahaus,22,,,52.081681,7.016453
Ahlen (Westf),23,,,51.761062,7.895488
Ahlhorn,24,,,52.899321,8.209429
Ahlten (Han),25,,,52.376062,9.904613
Ahrbrück,908,,,50.489679,6.972391
Ahrensburg,27,,,53.669171,10.236206
Ahrensburg-Gartenholz,8169,,,53.688482,10.251786
Ahrensfelde,28,,,52.571375,13.565154
Ahrensfelde Friedhof,29,,,52.580882,13.573316
Ahrensfelde Nord,30,,,52.590685,13.581985
Ahrweiler,31,,,50.5464083,7.10725844
Ahrweiler Markt,32,,,50.544228,7.094229
Aichach,34,,,48.461117,11.122721
Aichstetten,35,,,47.887884,10.07494
Ainring,36,,,47.815033,12.964501
Albbruck,40,,,47.592235,8.131774
Albersdorf,41,,,54.14632,9.292151
Albersweiler (Pfalz),42,,,49.218587,8.024059
Albig,44,,,49.771375,8.116579
Albrechtshof,45,,,52.549396,13.128917
Albshausen,46,,,50.545716,8.434869
Albsheim (Eis),7201,,,49.5807479,8.17916572
Albstadt-Ebingen,47,,,48.21029,9.026962
Albstadt-Ebingen West,7891,,,48.21139,8.99698
Albstadt-Laufen Ort,49,,,48.222859,8.917316
Albstadt-Lautlingen,50,,,48.213638,8.95462
Aldekerk,51,,,51.435759,6.412542
Aldingen,7960,,,48.095845,8.713033
Aletshausen,52,,,48.201313,10.383631
Alexanderplatz,53,,,52.521481,13.410961
Alfeld (Leine),54,,,51.981417,9.817779
Alfter-Impekoven,2392,,,50.711016,7.019831
Alfter-Witterschlick,6828,,,50.689698,7.026083
Algermissen,56,,,52.2519634,9.96665955
Alheim-Heinebach,2664,,,51.045739,9.664423
Aligse,57,,,52.403462,9.979349
Allendorf (Dillkr),59,,,50.743811,8.185486
Allensbach,60,,,47.714464,9.068852
Allermöhe,7979,,,53.490356,10.158735
Allersberg (Rothsee),99,,,49.262131,11.212573
Allmendingen,61,,,48.327735,9.722427
Alpen,62,,,51.583392,6.518041
Alpirsbach,63,,,48.343809,8.398251
Alsenz,64,,,49.727495,7.817189
Alsfeld (Oberhess),65,,,50.750962,9.264297
Alsheim,66,,,49.765528,8.342462
Alt Hüttendorf,67,,,52.957591,13.783574
Alt Rosenthal,71,,,52.550403,14.278627
Alt-Reinickendorf,7719,,,52.578091,13.349617
Altbach,73,,,48.720393,9.382384
Altdorf (b Nürnberg),75,,,49.390006,11.35353
Altdorf West,76,,,49.391146,11.341467
Altdöbern,74,,,51.65278,14.009236
Alte Veste,77,,,49.454322,10.972363
Alte Wöhr (Stadtpark),78,,,53.59793,10.035415
Altefähr,79,,,54.322927,13.14101
Altena (Westf),80,,,51.301981,7.668808
Altenahr,81,,,50.515652,6.989707
Altenau (Bay),82,,,47.648365,11.017375
Altenbach,83,,,51.355868,12.682324
Altenbamberg,84,,,49.786857,7.830745
Altenbeken,85,,,51.766433,8.943319
Altenberge,87,,,52.052258,7.481303
Altenburg,89,,,50.9971976,12.4439049
Altenerding,94,,,48.293572,11.901744
Altenfeld (Rhön),95,,,50.450898,9.849726
Altenglan,96,,,49.548643,7.461841
Altengörs,97,,,53.898696,10.355554
Altenkirchen (Westerw),105,,,50.684418,7.638257
Altenseelbach,108,,,50.783837,7.992398
Altenstadt (Hess),109,,,50.2833118,8.94398153
Altenstadt (Iller),110,,,48.161191,10.109983
Altenstadt (Waldnaab),8152,,,49.715679,12.16487
Altenstadt-Höchst,2806,,,50.269767,8.923418
Altenstadt-Lindheim,3735,,,50.291238,8.978405
Altentreptow,111,,,53.692233,13.242713
Altenwillershagen,113,,,54.259406,12.572818
Altersbach,114,,,50.70064,10.544522
Altes Lager,3072,,,52.017356,12.989048
Altglashütten-Falkau,115,,,47.859392,8.114113
Altglienicke,116,,,52.407299,13.558753
Althegnenberg,117,,,48.236374,11.063003
Altheim (Hess),119,,,49.923332,8.890906
Althof,121,,,54.090442,11.922341
Altmittweida,124,,,50.9687044,12.9596454
Altomünster,126,,,48.384918,11.255133
Altranft,128,,,52.763368,14.082107
Altshausen,130,,,47.930711,9.551478
Altstädten (Allgäu),131,,,47.48855,10.280907
Alttann,132,,,47.841214,9.793037
Alzey,133,,,49.7502,8.109749
Alzey Süd,7531,,,49.738134,8.118732
Amberg,134,,,49.447616,11.862902
Ammern,263,,,51.233346,10.458086
Ampfing,139,,,48.253949,12.410919
Amsdorf,140,,,51.463561,11.71979
Amstetten (Württ),141,,,48.578328,9.872965
Amtshainersdorf,142,,,50.966322,14.232364
Andernach,144,,,50.434542,7.404839
Anderten-Misburg,145,,,52.369161,9.861109
Angermund,147,,,51.330748,6.781857
Angermünde,148,,,53.015221,13.996361
Angern-Rogätz,149,,,52.338464,11.759535
Angersbach,150,,,50.6309738,9.446944
Angersdorf,151,,,51.460407,11.903139
Anklam,152,,,53.856102,13.701827
Annaburg,156,,,51.72868,13.032757
Annweiler am Trifels,158,,,49.205386,7.966149
Annweiler-Sarnstall,8242,,,49.208725,7.937192
Anrath,160,,,51.285536,6.45023
Ansbach,161,,,49.298032,10.578239
Anwanden,163,,,49.411692,10.930396
Anzefahr,164,,,50.8453834,8.86017284
Apolda,166,,,51.03094,11.526136
Appenweier,168,,,48.541461,7.97319
Ardey,169,,,51.481163,7.727176
Arensdorf (b Köthen),171,,,51.709511,12.007416
Arenshausen,172,,,51.3750554,9.96855855
Arfurt (Lahn),173,,,50.406403,8.211079
Armsheim,175,,,49.808372,8.074113
Arnbach,176,,,48.34132,11.344044
Arnsberg (Westf),177,,,51.405662,8.067965
Arnsberg-Neheim-Hüsten,4329,,,51.438003,7.970066
Arnschwang,178,,,49.274608,12.8116
Arnsdorf (b Dresden),179,,,51.092807,13.982212
Arnstadt Hbf,180,,,50.841939,10.948262
